Rank,Original_Feature,Importance,Importance_Percent
1,resting_heart_rate,0.18348066365709612,18.348066365709613
2,hrv,0.15980279250517448,15.980279250517448
3,rhr_baseline,0.1282871552247623,12.82871552247623
4,day_strain,0.09988993910749214,9.988993910749214
5,hrv_baseline,0.08657902445354723,8.657902445354724
6,calories_burned,0.04722384666928086,4.722384666928086
7,date_dayofyear,0.04614091591786429,4.614091591786429
8,height_cm,0.03244099583554135,3.244099583554135
9,age,0.029622018423727928,2.9622018423727927
10,activity_strain,0.027517191867488675,2.7517191867488675
11,weight_kg,0.024323635451770794,2.4323635451770795
12,primary_sport,0.014245937291218603,1.4245937291218602
13,sleep_efficiency,0.014034783127311878,1.4034783127311878
14,fitness_level,0.012794892445452736,1.2794892445452737
15,skin_temp_deviation,0.01058135958147431,1.058135958147431
16,light_sleep_hours,0.009850184472903353,0.9850184472903354
17,respiratory_rate,0.008984593861762289,0.8984593861762289
18,rem_sleep_hours,0.008781787826889358,0.8781787826889358
19,deep_sleep_hours,0.008260593323593099,0.8260593323593098
20,sleep_hours,0.00752116609951865,0.752116609951865
21,hr_zone_1_min,0.0041410813066836355,0.41410813066836355
22,hr_zone_2_min,0.003950294528323501,0.39502945283235014
23,hr_zone_5_min,0.003797918570061453,0.37979185700614526
24,avg_heart_rate,0.003555487269850162,0.3555487269850162
25,activity_duration_min,0.0035303293572623907,0.35303293572623906
26,max_heart_rate,0.0033428049766235407,0.33428049766235407
27,activity_calories,0.003110004168516379,0.31100041685163793
28,hr_zone_4_min,0.0029544326059071685,0.29544326059071685
29,date_month,0.0028251583008510853,0.28251583008510855
30,hr_zone_3_min,0.0025050339491274175,0.25050339491274176
31,gender,0.002182937614005013,0.21829376140050127
32,day_of_week,0.0012986703030984986,0.12986703030984986
33,workout_time_of_day,0.0009745602629671588,0.09745602629671588
34,wake_ups,0.0006091918251046517,0.06091918251046517
35,time_to_fall_asleep_min,0.0005553296462765125,0.05553296462765125
36,activity_type,0.00028464971040609207,0.028464971040609206
37,workout_completed,1.863846106508364e-05,0.0018638461065083641
38,sleep_performance,0.0,0.0
