Rank,Feature,Importance,Importance_Percent,Original_Feature
1,resting_heart_rate,0.18348066365709612,18.348066365709613,resting_heart_rate
2,hrv,0.15980279250517448,15.980279250517448,hrv
3,rhr_baseline,0.1282871552247623,12.82871552247623,rhr_baseline
4,day_strain,0.09988993910749214,9.988993910749214,day_strain
5,hrv_baseline,0.08657902445354723,8.657902445354724,hrv_baseline
6,calories_burned,0.04722384666928086,4.722384666928086,calories_burned
7,date_dayofyear,0.04614091591786429,4.614091591786429,date_dayofyear
8,height_cm,0.03244099583554135,3.244099583554135,height_cm
9,age,0.029622018423727928,2.9622018423727927,age
10,activity_strain,0.027517191867488675,2.7517191867488675,activity_strain
11,weight_kg,0.024323635451770794,2.4323635451770795,weight_kg
12,sleep_efficiency,0.014034783127311878,1.4034783127311878,sleep_efficiency
13,skin_temp_deviation,0.01058135958147431,1.058135958147431,skin_temp_deviation
14,light_sleep_hours,0.009850184472903353,0.9850184472903354,light_sleep_hours
15,respiratory_rate,0.008984593861762289,0.8984593861762289,respiratory_rate
16,rem_sleep_hours,0.008781787826889358,0.8781787826889358,rem_sleep_hours
17,deep_sleep_hours,0.008260593323593099,0.8260593323593098,deep_sleep_hours
18,sleep_hours,0.00752116609951865,0.752116609951865,sleep_hours
19,fitness_level_Beginner,0.00545040685155822,0.545040685155822,fitness_level
20,hr_zone_1_min,0.0041410813066836355,0.41410813066836355,hr_zone_1_min
21,hr_zone_2_min,0.003950294528323501,0.39502945283235014,hr_zone_2_min
22,primary_sport_Cycling,0.003934441594414917,0.3934441594414917,primary_sport
23,hr_zone_5_min,0.003797918570061453,0.37979185700614526,hr_zone_5_min
24,fitness_level_Intermediate,0.0037537481185987,0.37537481185987004,fitness_level
25,avg_heart_rate,0.003555487269850162,0.3555487269850162,avg_heart_rate
26,activity_duration_min,0.0035303293572623907,0.35303293572623906,activity_duration_min
27,max_heart_rate,0.0033428049766235407,0.33428049766235407,max_heart_rate
28,activity_calories,0.003110004168516379,0.31100041685163793,activity_calories
29,hr_zone_4_min,0.0029544326059071685,0.29544326059071685,hr_zone_4_min
30,date_month,0.0028251583008510853,0.28251583008510855,date_month
31,primary_sport_Yoga,0.0025287583584209052,0.2528758358420905,primary_sport
32,hr_zone_3_min,0.0025050339491274175,0.25050339491274176,hr_zone_3_min
33,fitness_level_Advanced,0.0022566180969843183,0.22566180969843183,fitness_level
34,primary_sport_HIIT,0.0021572027701722966,0.21572027701722965,primary_sport
35,primary_sport_CrossFit,0.0015508356000384054,0.15508356000384055,primary_sport
36,primary_sport_Running,0.0013969435076433816,0.13969435076433817,primary_sport
37,fitness_level_Elite,0.0013341193783114977,0.13341193783114977,fitness_level
38,primary_sport_Weight Training,0.0011419094383148633,0.11419094383148633,primary_sport
39,gender_Female,0.0010937747693717042,0.10937747693717043,gender
40,gender_Male,0.0010891628446333087,0.10891628446333086,gender
41,primary_sport_Swimming,0.0008870309899348584,0.08870309899348584,primary_sport
42,primary_sport_Walking,0.0006488150322789758,0.06488150322789758,primary_sport
43,wake_ups,0.0006091918251046517,0.06091918251046517,wake_ups
44,time_to_fall_asleep_min,0.0005553296462765125,0.05553296462765125,time_to_fall_asleep_min
45,workout_time_of_day_Morning,0.0005443421511105521,0.05443421511105521,workout_time_of_day
46,workout_time_of_day_Afternoon,0.0003045877016416063,0.03045877016416063,workout_time_of_day
47,day_of_week_Thursday,0.00024546536728653153,0.024546536728653152,day_of_week
48,day_of_week_Saturday,0.0002407896482505845,0.02407896482505845,day_of_week
49,day_of_week_Wednesday,0.0002335889497902649,0.02335889497902649,day_of_week
50,day_of_week_Sunday,0.00022675838745137076,0.022675838745137077,day_of_week
51,day_of_week_Friday,0.0001687978762099286,0.01687978762099286,day_of_week
52,workout_time_of_day_Evening,0.00012563041021500034,0.012563041021500035,workout_time_of_day
53,day_of_week_Tuesday,9.242254638674755e-05,0.009242254638674756,day_of_week
54,day_of_week_Monday,9.084752772307077e-05,0.009084752772307077,day_of_week
55,activity_type_HIIT,8.265955115629094e-05,0.008265955115629095,activity_type
56,activity_type_Swimming,4.664034124133056e-05,0.004664034124133056,activity_type
57,activity_type_Running,4.047207503711576e-05,0.004047207503711576,activity_type
58,activity_type_Walking,3.8380098143265536e-05,0.0038380098143265535,activity_type
59,activity_type_Weight Training,3.726118053968525e-05,0.0037261180539685246,activity_type
60,activity_type_Rest Day,2.0996584594660034e-05,0.0020996584594660033,activity_type
61,workout_completed,1.863846106508364e-05,0.0018638461065083641,workout_completed
62,activity_type_Yoga,1.1832316586868323e-05,0.0011832316586868324,activity_type
63,activity_type_CrossFit,6.407563106875662e-06,0.0006407563106875662,activity_type
64,sleep_performance,0.0,0.0,sleep_performance
65,activity_type_Cycling,0.0,0.0,activity_type
