Feature,Mean_R2_Decrease,Std_R2_Decrease
resting_heart_rate,0.4683584249825448,0.024062116220701403
rhr_baseline,0.3783723809946207,0.008833952322791643
hrv,0.27458684043635523,0.009411696780908424
hrv_baseline,0.16187105375025343,0.004992942130829135
day_strain,0.1141600367078939,0.0060257464844944006
calories_burned,0.034617812148228254,0.003414007227886289
activity_strain,0.026639668129494275,0.005307522217348389
age,0.023215910116807837,0.004912946583429649
date_dayofyear,0.015246456386503238,0.0038717503293730585
height_cm,0.011773874481553781,0.0012623600685112242
primary_sport,0.008865954279147404,0.0011574160669593921
fitness_level,0.0070003399141479235,0.0015256376362741632
weight_kg,0.005856418698579624,0.0013098025418610533
sleep_efficiency,0.0015584858721191086,0.00026930402228600263
hr_zone_5_min,0.0015279744710477328,0.00031756571016430563
activity_calories,0.0012791690363676666,0.00016559565838336135
avg_heart_rate,0.001014847143997688,0.00033111584723792016
light_sleep_hours,0.000955923258520186,0.0005531676102947366
hr_zone_3_min,0.0008906659205034862,0.00014915779529891044
gender,0.0008097141354827863,0.00023251395116232574
activity_duration_min,0.0007752787336028133,0.00028309164870558216
rem_sleep_hours,0.0007418442303901207,0.000494890417448687
date_month,0.0006715565986697092,0.0004894638836082333
hr_zone_4_min,0.0006446970174478039,0.00033953704558770104
skin_temp_deviation,0.0005699173485074427,0.0003522861550481539
max_heart_rate,0.0003021490791228931,0.00034911374612589356
deep_sleep_hours,0.0002398336955142577,0.0003673802884620994
respiratory_rate,0.0001775982688626998,0.0003337340765641891
workout_time_of_day,0.0001233768314727435,0.00022381967393737424
wake_ups,0.00011515393991470279,0.00012655244782683705
hr_zone_1_min,0.00011017424833410505,0.0004021482017681489
workout_completed,6.211210318030069e-06,5.636523519665055e-06
sleep_performance,-2.2204460492503132e-17,4.440892098500627e-17
day_of_week,-4.12938766716886e-05,0.00017974827732715844
activity_type,-5.1961150602930496e-05,3.861703090041717e-05
time_to_fall_asleep_min,-7.729717823001803e-05,7.320175936203661e-05
sleep_hours,-0.00027524154147822165,0.00029250999679803684
hr_zone_2_min,-0.0003573372182800849,0.00034697005592286545
