Model,Metric,Rank
Linear Regression,MAE_Rank,1
Ridge Regression,MAE_Rank,2
Elastic Net,MAE_Rank,3
XGBoost,MAE_Rank,4
Gradient Boosting,MAE_Rank,5
Random Forest,MAE_Rank,6
Decision Tree,MAE_Rank,7
Baseline Mean,MAE_Rank,8
Linear Regression,RMSE_Rank,1
Ridge Regression,RMSE_Rank,2
Elastic Net,RMSE_Rank,3
XGBoost,RMSE_Rank,4
Gradient Boosting,RMSE_Rank,5
Random Forest,RMSE_Rank,6
Decision Tree,RMSE_Rank,7
Baseline Mean,RMSE_Rank,8
Linear Regression,R2_Rank,1
Ridge Regression,R2_Rank,2
Elastic Net,R2_Rank,3
XGBoost,R2_Rank,4
Gradient Boosting,R2_Rank,5
Random Forest,R2_Rank,6
Decision Tree,R2_Rank,7
Baseline Mean,R2_Rank,8
