Feature,Mean_R2_Decrease,Std_R2_Decrease
activity_duration_min,3437.6306277614945,71.39470618708515
hr_zone_4_min,298.9930894419767,5.15026775614526
hr_zone_3_min,284.4417217509802,5.694078491470615
hr_zone_2_min,221.67127125356447,6.037563449851173
hr_zone_1_min,145.74133704202526,3.2543778391684324
avg_heart_rate,98.25071804450147,1.6130135139624597
max_heart_rate,96.48705771753134,1.9573157847998857
hr_zone_5_min,62.35084232674593,1.275821133160384
resting_heart_rate,2.0324677055359257,0.06478819024233082
sleep_hours,1.8556901219275423,0.07745213341130375
rhr_baseline,1.7085130366327128,0.0373133502522425
hrv,1.4354601736293435,0.028206247655042937
hrv_baseline,1.1189650785683973,0.016113166994205376
light_sleep_hours,0.7857726469055736,0.03979273090425149
day_strain,0.5983269878510449,0.038516549376154965
rem_sleep_hours,0.11690361329735702,0.007830907329846057
deep_sleep_hours,0.07988283393192222,0.005731099650010165
activity_type,0.011164616304825325,0.0013552604942394853
activity_strain,0.007441651087655532,0.0013351942218024467
primary_sport,0.005066987259521594,0.000607534381085043
age,0.0024572057444929517,0.0017193854935758828
activity_calories,0.0024144852401596804,0.000990715051932508
date_month,0.001273875904926669,0.0014073314467193134
wake_ups,0.0010789472987495108,0.00028004955192032334
date_dayofyear,0.0010704357427499644,0.0008501188419912283
gender,0.0010002956093180914,0.0006302874888044774
calories_burned,0.000931113819913798,0.00032268903224642545
fitness_level,0.0004488128521781487,0.0011827994900958539
height_cm,0.0004475830479979237,0.00037380420106304115
respiratory_rate,0.0003345259987089788,0.00020061561201842302
workout_time_of_day,0.0002618953740022523,0.00018031631461200415
skin_temp_deviation,0.00019809750258721338,0.00033513948414420967
time_to_fall_asleep_min,0.00010347111855040226,0.00014742394807159528
day_of_week,9.161337637126898e-05,0.0008141738468348342
sleep_performance,0.0,0.0
workout_completed,-0.00039391344649564175,0.0007420297432279226
weight_kg,-0.0004946937736631796,0.0016492894228746933
sleep_efficiency,-0.0007670632482509321,0.00037366885912786153
